date,open,close,high,low,volume,turnover,amount
2025-05-20,27.65,28.56,28.93,27.4,56579500.0,0.0408,1611571700.0000002
2025-05-21,28.46,29.41,29.59,28.09,63062400.0,0.0455,1827146800.0
2025-05-22,29.31,29.05,30.05,28.87,56063400.0,0.0404,1651822300.0
2025-05-23,29.03,28.43,29.21,28.03,49298900.0,0.0356,1411571000.0
2025-05-26,27.73,28.26,28.5,27.43,36725600.0,0.0265,1035094700.0
2025-05-27,28.26,28.18,28.4,27.8,32038300.0,0.0231,899056900.0
2025-05-28,28.17,27.92,28.87,27.9,34070400.0,0.0246,965082000.0
2025-05-29,28.3,28.7,29.08,28.3,59052200.0,0.0426,1696481000.0
2025-05-30,28.4,28.16,28.5,27.37,45569400.0,0.0329,1270472200.0
2025-06-03,27.75,28.45,28.79,27.61,37880400.0,0.0273,1075280000.0
2025-06-04,28.6,29.9,30.33,28.6,71411100.0,0.051500000000000004,2112033800.0
2025-06-05,30.28,31.1,31.42,29.52,75414400.0,0.054400000000000004,2313347900.0
2025-06-06,30.95,31.14,31.3,30.66,37732800.0,0.027200000000000002,1171130400.0
2025-06-09,31.33,31.8,32.21,31.03,59322700.0,0.042800000000000005,1884063800.0
2025-06-10,31.85,31.23,32.1,31.0,53206800.0,0.0384,1676521300.0
2025-06-11,31.3,31.35,32.25,31.0,42486300.0,0.030600000000000002,1343270500.0
2025-06-12,31.27,31.97,32.35,31.11,51246900.0,0.037000000000000005,1633991600.0
2025-06-13,32.15,31.45,32.56,31.4,59126800.0,0.042699999999999995,1879595799.9999998
2025-06-16,31.15,34.6,34.6,31.0,240989300.0,0.17379999999999998,8139324600.0
2025-06-17,34.98,34.83,35.25,34.35,89000800.0,0.0642,3092728700.0
2025-06-18,34.79,36.62,37.08,34.62,125160300.0,0.09029999999999999,4500392700.0
2025-06-19,37.36,37.09,38.35,36.8,114163200.0,0.0823,4271173400.0000005
2025-06-20,36.89,36.3,37.5,35.88,83401900.0,0.0602,3040363000.0
2025-06-23,35.98,36.98,37.54,35.8,73558400.0,0.053099999999999994,2702103000.0
2025-06-24,36.85,36.39,37.69,36.0,65595800.0,0.0473,2398396200.0
2025-06-25,36.71,36.45,37.53,35.9,63926000.0,0.0461,2342882900.0
2025-06-26,36.8,36.93,38.2,36.36,82863400.0,0.059800000000000006,3086784400.0
2025-06-27,36.56,37.58,38.61,35.33,100993000.0,0.0728,3743092000.0
2025-06-30,37.5,37.77,38.2,37.05,84633100.0,0.061,3178117300.0
2025-07-01,37.4,41.55,41.55,37.4,130600500.0,0.0942,5233023100.0
2025-07-02,40.25,39.6,40.49,38.5,124642100.0,0.08990000000000001,4910134400.0
2025-07-03,40.34,43.3,43.56,39.16,139437500.0,0.10060000000000001,5788655600.000001
2025-07-04,44.81,42.6,44.99,42.12,104191100.0,0.07519999999999999,4471066300.0
2025-07-07,41.99,40.46,42.39,40.36,82587200.0,0.0596,3395625300.0000005
2025-07-08,40.26,43.45,44.37,40.17,106477100.0,0.0768,4522634800.0
2025-07-09,44.44,46.42,47.2,43.9,124910800.0,0.0901,5769985600.000001
2025-07-10,47.34,46.5,47.5,45.56,65237200.0,0.0471,3031816900.0
2025-07-11,46.31,44.42,46.43,43.9,71480900.0,0.0516,3194571000.0
2025-07-14,45.92,47.2,47.8,45.44,70516400.0,0.0509,3297481599.9999995
2025-07-15,47.9,51.78,51.92,47.75,90874400.0,0.06559999999999999,4581332900.0
2025-07-16,51.48,50.28,52.2,50.28,61517200.0,0.0444,3141598000.0
2025-07-17,52.6,55.31,55.31,52.6,70495400.0,0.0509,3849774300.0
2025-07-18,58.0,54.21,58.5,53.3,123636100.0,0.0892,6905110800.0
2025-07-21,54.59,54.97,55.85,52.88,100743100.0,0.0727,5486342200.0
2025-07-22,55.5,54.31,58.5,53.79,98595600.0,0.0711,5496517000.0
2025-07-23,53.13,53.59,54.03,52.44,66955000.0,0.0483,3567645000.0
2025-07-24,54.8,53.5,54.88,51.95,78559300.0,0.0567,4178406100.0
2025-07-25,53.9,53.03,53.93,52.39,44100900.0,0.0318,2336853000.0
2025-07-28,54.1,54.43,55.98,51.3,174849600.0,0.1261,9364635800.0
2025-07-29,54.7,57.38,57.59,54.63,98310600.0,0.0709,5520270900.0
2025-07-30,58.03,56.71,58.8,55.68,76338800.0,0.055099999999999996,4357620600.0
2025-07-31,60.01,58.49,61.5,58.12,95347700.0,0.0688,5667291300.0
2025-08-01,57.19,55.12,58.25,54.1,78984400.0,0.057,4418579400.0
2025-08-04,53.85,53.31,54.16,52.43,71716200.0,0.051699999999999996,3807072600.0
2025-08-05,54.1,52.44,54.36,51.0,69492300.0,0.0501,3633565300.0000005
2025-08-06,52.18,51.99,54.0,51.47,52702400.0,0.038,2769659600.0
2025-08-07,52.27,52.24,54.1,50.5,69455700.0,0.0501,3635538400.0000005
2025-08-08,51.3,52.3,53.45,51.12,43355500.0,0.0313,2269371700.0
2025-08-11,52.5,55.64,57.23,52.3,88035400.0,0.0635,4840309000.0
2025-08-12,55.92,56.63,57.76,55.1,74070200.0,0.053399999999999996,4191294800.0
2025-08-13,55.9,59.5,59.8,53.91,90428000.0,0.0652,5212884100.0
2025-08-14,58.5,54.9,58.51,53.55,109705200.0,0.0791,6077924300.000001
2025-08-15,54.41,52.12,54.8,51.78,97006000.0,0.07,5126110400.0
2025-08-18,51.71,54.65,54.73,48.68,135455400.0,0.0977,6984969800.0
2025-08-19,54.55,52.6,54.57,51.97,83832200.0,0.0605,4441771500.0
2025-08-20,50.8,52.3,52.37,49.6,64195900.0,0.0463,3285931500.0
2025-08-21,52.26,51.46,52.97,50.6,53179100.0,0.0384,2757257400.0
2025-08-22,51.05,53.26,53.81,51.04,70820400.0,0.051100000000000007,3737981200.0
2025-08-25,53.47,57.16,58.5,52.5,113907000.0,0.08220000000000001,6374229600.0
